OTEXE;SEXEP;TRA05;CHAFF;UTATO;STREV
48;2;9;101719;3;33906
39;1;2;126113;1,4;90081
39;1;8;416223;8,28;50268
39;1;4;136308;1;136308
48;1;6;41179;1;41179
48;1;6;6975;1;6975
37;1;9;145927;2,41;60551
46;1;4;38564;1;38564
39;1;9;98760;2,55;38729
28;1;5;699009;8,56;81660
50;1;6;146569;2;73285
39;1;8;122846;4,13;29745
48;2;3;72451;1;72451
29;2;6;66243;1,5;44162
37;1;6;48056;1;48056
37;2;9;186292;3,39;54953
37;1;4;30277;1;30277
39;1;5;112121;2,47;45393
73;1;2;42927;1,04;41276
46;1;5;73733;1;73733
28;1;5;29135;1;29135
28;1;5;242234;4,75;50997
39;1;3;140983;3,11;45332
39;1;4;42493;1,37;31017
45;1;4;146018;1;146018
39;1;3;199798;4,4;45409
45;1;9;53920;1;53920
29;1;7;224399;3,06;73333
37;1;9;135074;1,61;83897
39;1;8;82146;2;41073
28;1;10;215666;7,31;29503
37;1;8;20206;1;20206
37;1;7;62588;1;62588
48;1;7;64339;1;64339
48;1;11;49381;1;49381
48;1;8;83908;1;83908
48;1;8;60385;1,31;46095
50;1;8;54090;1;54090
48;2;6;42040;1;42040
48;2;8;44280;1;44280
48;2;9;24101;1;24101
46;1;7;34994;1,56;22432
48;1;6;56140;1,85;30346
48;2;4;39812;1;39812
46;1;9;15967;1;15967
48;1;9;29668;1;29668
48;2;9;28608;1;28608
50;1;7;50629;1;50629
48;1;4;42172;1;42172
48;1;5;38269;1;38269
48;2;5;38182;1;38182
48;1;8;77427;2;38714
50;2;5;33846;1;33846
46;1;8;139459;1;139459
46;1;7;153255;1,57;97615
45;1;8;113568;2;56784
45;1;10;223596;3;74532
46;2;7;98347;2;49174
45;1;6;199766;1;199766
45;1;10;284296;3;94765
45;1;5;255904;2;127952
74;2;6;76193;2;38097
46;1;7;52020;1;52020
46;1;8;106688;2;53344
46;1;8;157786;2,05;76969
45;1;6;57364;2;28682
28;1;3;38422;1;38422
45;1;5;246406;3;82135
46;1;1;120101;1,24;96855
83;1;6;62347;1;62347
48;2;8;99935;1,55;64474
48;1;8;21604;1;21604
45;1;7;65901;2;32951
46;1;7;105524;1;105524
45;1;8;82928;1;82928
45;1;8;47854;1;47854
39;2;9;307080;11,02;27866
46;1;6;51287;1;51287
45;1;8;112721;2;56361
48;1;8;44919;2;22460
45;1;9;517384;5;103477
46;1;9;104960;2,19;47927
46;1;8;60072;1;60072
46;1;8;26979;1;26979
46;1;8;100789;2;50395
45;1;6;135825;1;135825
46;1;6;41641;2;20821
45;1;7;127245;1,85;68781
83;1;7;229891;2;114946
15;2;12;289930;3;96643
46;1;8;128401;1;128401
46;1;4;65759;1,56;42153
28;1;4;198092;3;66031
50;1;6;106610;1,03;103505
45;1;9;57322;1;57322
45;1;7;125363;1,65;75978
46;1;9;84132;1,63;51615
45;1;3;114375;1;114375
73;1;8;186894;2;93447
45;1;9;160398;3;53466
50;1;8;840143;2,21;380155
50;1;3;152206;1;152206
28;2;4;156260;3,68;42462
28;1;8;555328;10,95;50715
46;1;8;127298;1;127298
47;1;8;166338;2,27;73277
39;1;9;52235;1;52235
28;1;8;1212601;29;41814
46;1;8;19279;1;19279
28;1;5;33089;1,38;23978
50;1;8;503872;1;503872
39;2;7;24821;1;24821
74;1;8;737061;2,1;350981
50;1;6;808718;2,86;282769
15;1;4;83337;1;83337
50;2;9;66309;1,2;55258
28;1;9;290526;4,46;65140
28;1;9;759065;9;84341
50;1;7;1889864;4,66;405550
50;1;9;1008804;2,25;448357
50;1;9;687118;2;343559
45;1;8;314438;3,69;85214
28;2;8;970863;9;107874
28;1;8;978402;9;108711
15;2;8;111770;2;55885
47;1;7;211573;1;211573
50;1;5;327961;1;327961
16;1;9;749332;8,83;84862
50;1;10;1021025;3,43;297675
50;1;8;179060;1;179060
50;1;9;1040775;3,03;343490
50;1;8;89144;1;89144
50;1;4;304063;1;304063
50;1;8;1525922;5,15;296296
15;2;9;104679;1,53;68418
15;1;4;133792;1;133792
50;1;5;943170;2;471585
50;1;5;731519;1;731519
50;1;9;800341;3;266780
50;1;7;962528;2;481264
28;1;5;84689;2,36;35885
50;1;7;1276251;2,76;462410
50;2;9;86824;2;43412
50;1;5;1227677;2;613839
61;1;9;46086;1,98;23276
39;1;6;355488;3,18;111789
37;1;6;130770;2,5;52308
37;1;5;116172;1,33;87347
48;1;7;82748;2;41374
38;1;8;565195;4,96;113951
48;1;7;59074;1;59074
46;1;9;95385;1;95385
46;1;6;137880;2,92;47219
37;1;4;40430;1,25;32344
46;1;8;56492;1;56492
46;1;8;46571;1;46571
38;2;7;164166;1,14;144005
16;1;5;399656;1,93;207076
83;1;9;505220;4;126305
50;1;9;270032;1;270032
46;1;9;295994;4;73999
37;1;7;143980;3,1;46445
37;1;8;362959;3,09;117462
37;1;9;96123;1;96123
45;1;6;130536;1;130536
46;1;4;72749;1;72749
45;1;7;379821;2;189910
37;1;8;50701;1;50701
37;1;4;49332;1;49332
46;2;11;138521;2,37;58448
83;1;5;191122;3,24;58988
83;1;7;592930;4,25;139513
16;1;5;320921;3,56;90146
15;1;8;57075;1;57075
29;1;9;1166709;15,08;77368
15;1;7;186342;1;186342
46;1;8;191670;1,52;126099
47;1;9;472846;4;118211
83;1;10;118540;1,78;66596
45;1;6;334267;1,82;183663
29;1;8;250090;3,46;72280
29;2;10;129318;2,02;64019
83;1;6;311043;2,98;104377
