OTEXE;SEXEP;TRA05;CHAFF;UTATO;STREV
45;1;9;151345;2;75673
29;1;3;171057;1,75;97747
74;1;8;466357;2;233179
50;1;10;305330;1,04;293587
16;1;6;156734;2;78367
29;2;7;470148;3,71;126725
45;2;8;218605;2,04;107159
45;1;4;323257;2,44;132482
50;1;7;523043;2;261522
28;1;4;130454;1,85;70516
45;1;8;258099;2,09;123492
50;1;10;478133;3;159378
28;1;9;2294863;17;134992
28;1;8;2430218;27;90008
28;1;7;961157;12;80096
46;1;7;22842;1;22842
45;1;7;230692;2;115346
45;1;4;136017;1;136017
37;1;9;213664;2;106832
47;1;9;39781;1;39781
15;1;7;167726;1,01;166065
48;1;5;48291;1;48291
48;1;8;22873;1;22873
48;1;9;25096;1;25096
48;1;8;201396;3;67132
15;1;6;147611;1,19;124043
45;1;9;33335;1;33335
46;1;8;43808;1;43808
47;1;7;171496;2,02;84899
47;2;7;34371;1;34371
47;1;6;65009;1;65009
45;1;8;818965;5,81;140958
47;1;8;136322;2;68161
46;1;6;96496;1,59;60689
46;1;5;66275;2;33138
46;1;10;88821;2;44411
46;1;9;42541;2;21271
46;1;6;69079;1;69079
50;2;10;224724;2;112362
74;1;7;459057;1;459057
74;1;8;842494;3;280831
84;1;10;198453;1;198453
50;1;9;994759;1;994759
74;2;7;749725;2;374863
50;1;9;45839;1;45839
50;2;9;338691;1;338691
50;1;4;530347;1,06;500327
73;2;11;722659;4;180665
50;1;9;335749;1;335749
50;1;7;1625003;3,06;531047
45;1;8;93231;1;93231
16;1;10;146924;1,7;86426
50;1;4;978916;1,04;941265
29;1;8;193178;2,18;88614
50;1;6;1192775;2;596388
50;1;5;61175;1;61175
45;1;3;431398;3;143799
47;1;6;160484;1,04;154312
45;1;7;216002;1,05;205716
47;1;7;344048;2,42;142169
50;1;6;2730223;6;455037
50;1;7;1708868;3,52;485474
50;1;6;852013;2;426007
74;2;8;365567;2,27;161043
28;1;7;1223054;14,76;82863
50;1;7;384320;1,76;218364
45;1;8;805840;4,69;171821
45;1;7;207247;1;207247
47;1;9;134836;1;134836
74;1;7;677231;2;338616
37;1;8;19673;1,53;12858
46;1;8;271356;4;67839
46;1;5;18368;1;18368
48;1;7;60069;1;60069
38;1;7;109554;1,16;94443
84;1;8;90755;1;90755
47;1;7;339657;2;169829
46;1;8;142565;1,37;104062
37;2;5;197737;4,15;47647
16;1;9;135312;1;135312
28;1;5;174561;3,05;57233
61;1;3;537657;6,55;82085
29;1;6;180725;2,06;87730
16;1;5;740161;15,49;47783
37;1;8;111129;1,32;84188
50;1;4;365584;1;365584
50;1;7;1498384;7,22;207532
61;1;10;60702;2;30351
16;2;5;62079;1,48;41946
16;2;4;13399;1;13399
15;2;5;104986;2,1;49993
84;1;3;246144;4,13;59599
15;1;4;40142;1;40142
15;1;9;153585;1;153585
15;0;11;89467;3,56;25131
16;1;3;73166;1;73166
15;1;7;112552;1;112552
15;1;6;283758;2;141879
15;1;6;213790;1;213790
39;2;4;64009;3;21336
39;1;11;255016;1;255016
50;1;2;33611;1;33611
50;2;9;46136;1;46136
50;1;6;22920;2;11460
50;1;11;48335;1;48335
83;1;4;51664;1;51664
46;1;9;11537;1;11537
48;1;10;80606;1,88;42876
48;1;5;77196;2;38598
48;2;4;70532;1;70532
48;2;3;65331;1;65331
48;1;4;70272;1;70272
84;1;3;195210;1,16;168284
16;1;4;233082;1,9;122675
16;1;7;71070;1,47;48347
16;1;8;81521;1;81521
28;1;8;97017;2,63;36889
16;1;10;202607;4,62;43854
16;1;8;163398;2,5;65359
16;1;6;34461;1;34461
50;1;2;329217;1;329217
45;1;9;224407;2,25;99736
29;1;9;457836;5,05;90661
29;1;4;246043;4,31;57087
28;1;9;381994;6,13;62315
28;1;7;132063;2;66032
29;1;4;251735;3;83912
46;1;10;20616;1;20616
46;1;7;31684;1;31684
28;1;7;647502;4,06;159483
16;1;9;363287;4,63;78464
28;1;7;474094;8;59262
50;1;7;1412666;4;353167
50;1;9;915681;6,5;140874
50;1;5;762671;2;381336
50;1;7;323169;1,5;215446
84;1;7;121005;1;121005
83;1;7;27781;1,31;21207
83;1;4;48830;1;48830
83;1;7;44336;0,8;55420
61;1;9;767845;1,5;511897
61;1;14;158898;1;158898
16;1;8;389401;1;389401
16;1;10;68198;1;68198
83;1;8;46971;1;46971
16;1;8;233997;1,4;167141
16;1;10;340497;2;170249
16;1;9;94294;2,25;41908
39;1;4;42995;1,07;40182
48;1;5;54853;1;54853
48;1;10;142811;1;142811
48;1;4;153565;2,07;74186
15;1;5;144766;1;144766
83;1;6;69863;1;69863
39;1;9;6909;1;6909
47;1;5;295978;1,5;197319
29;1;8;176581;5,34;33068
46;1;8;40423;1;40423
48;2;5;221228;2,06;107392
28;1;7;165576;3,38;48987
46;1;6;146159;1,3;112430
84;1;2;273668;2,36;115961
45;1;9;82128;2;41064
29;1;6;276159;2,92;94575
28;1;6;82269;2,28;36083
47;1;7;67055;3;22352
15;1;6;44593;2;22297
48;2;7;98325;3;32775
39;1;8;178157;1,25;142526
45;1;4;290989;2;145495
83;1;8;116203;1;116203
45;1;7;167056;1,09;153262
46;1;8;34796;1;34796
45;1;4;124192;1;124192
48;1;3;81795;1;81795
45;1;7;173138;1;173138
47;1;6;210208;2;105104
50;1;4;183095;2;91548
83;2;11;191032;2,94;64977
39;1;5;271649;3,37;80608
47;1;7;425826;2,01;211854
28;1;4;166530;2,18;76390
50;1;5;97304;1;97304
45;1;8;135908;1;135908
46;1;10;102051;1;102051
28;2;8;108681;1,75;62103
84;1;2;98384;2,23;44118
83;1;9;94376;1;94376
39;1;9;17024;1,1;15476
29;2;6;436215;5,5;79312
39;1;6;16661;0,7;23801
15;1;5;64965;1;64965
83;1;6;152126;2;76063
83;1;4;77032;1;77032
84;2;9;204651;1,23;166383
39;1;10;136131;4,73;28780
15;1;8;15152;1;15152
83;1;9;81021;1,37;59139
61;1;6;326458;2,91;112185
83;1;8;54918;1;54918
15;1;8;231472;2,29;101079
83;1;8;216474;1;216474
15;1;8;154336;1;154336
15;1;8;50157;1;50157
45;1;9;41492;1;41492
15;1;10;57366;1;57366
45;1;8;50019;1;50019
15;1;6;58809;0,4;147022
45;1;8;54356;1;54356
16;1;3;51400;1;51400
83;1;8;275224;1;275224
16;1;3;68102;0,5;136203
29;1;3;109035;1,22;89373
45;1;7;61235;1,08;56699
84;1;9;151741;2,59;58587
83;1;6;186746;1;186746
83;1;3;348147;3;116049
45;1;8;67414;1;67414
